old_path,decision,http_status,destination,reason,verified_status
/about,REBUILD_SAME_PATH,200,/about,Legal/trust/commercial page; hard cutover blocker (P1),UNTESTED
/astrology/aquarius/aquarius,REBUILD_SAME_PATH,200,/astrology/aquarius/aquarius,"Astro sign-pair grid; rebuild identical path, unique content, noindex until approved (P2)",UNTESTED
/astrology/aquarius/aries,REBUILD_SAME_PATH,200,/astrology/aquarius/aries,"Astro sign-pair grid; rebuild identical path, unique content, noindex until approved (P2)",UNTESTED
/astrology/aquarius/cancer,REBUILD_SAME_PATH,200,/astrology/aquarius/cancer,"Astro sign-pair grid; rebuild identical path, unique content, noindex until approved (P2)",UNTESTED
/astrology/aquarius/capricorn,REBUILD_SAME_PATH,200,/astrology/aquarius/capricorn,"Astro sign-pair grid; rebuild identical path, unique content, noindex until approved (P2)",UNTESTED
/astrology/aquarius/gemini,REBUILD_SAME_PATH,200,/astrology/aquarius/gemini,"Astro sign-pair grid; rebuild identical path, unique content, noindex until approved (P2)",UNTESTED
/astrology/aquarius/leo,REBUILD_SAME_PATH,200,/astrology/aquarius/leo,"Astro sign-pair grid; rebuild identical path, unique content, noindex until approved (P2)",UNTESTED
/astrology/aquarius/libra,REBUILD_SAME_PATH,200,/astrology/aquarius/libra,"Astro sign-pair grid; rebuild identical path, unique content, noindex until approved (P2)",UNTESTED
/astrology/aquarius/pisces,REBUILD_SAME_PATH,200,/astrology/aquarius/pisces,"Astro sign-pair grid; rebuild identical path, unique content, noindex until approved (P2)",UNTESTED
/astrology/aquarius/sagittarius,REBUILD_SAME_PATH,200,/astrology/aquarius/sagittarius,"Astro sign-pair grid; rebuild identical path, unique content, noindex until approved (P2)",UNTESTED
/astrology/aquarius/scorpio,REBUILD_SAME_PATH,200,/astrology/aquarius/scorpio,"Astro sign-pair grid; rebuild identical path, unique content, noindex until approved (P2)",UNTESTED
/astrology/aquarius/taurus,REBUILD_SAME_PATH,200,/astrology/aquarius/taurus,"Astro sign-pair grid; rebuild identical path, unique content, noindex until approved (P2)",UNTESTED
/astrology/aquarius/virgo,REBUILD_SAME_PATH,200,/astrology/aquarius/virgo,"Astro sign-pair grid; rebuild identical path, unique content, noindex until approved (P2)",UNTESTED
/astrology/aries/aquarius,REBUILD_SAME_PATH,200,/astrology/aries/aquarius,"Astro sign-pair grid; rebuild identical path, unique content, noindex until approved (P2)",UNTESTED
/astrology/aries/aries,REBUILD_SAME_PATH,200,/astrology/aries/aries,"Astro sign-pair grid; rebuild identical path, unique content, noindex until approved (P2)",UNTESTED
/astrology/aries/cancer,REBUILD_SAME_PATH,200,/astrology/aries/cancer,"Astro sign-pair grid; rebuild identical path, unique content, noindex until approved (P2)",UNTESTED
/astrology/aries/capricorn,REBUILD_SAME_PATH,200,/astrology/aries/capricorn,"Astro sign-pair grid; rebuild identical path, unique content, noindex until approved (P2)",UNTESTED
/astrology/aries/gemini,REBUILD_SAME_PATH,200,/astrology/aries/gemini,"Astro sign-pair grid; rebuild identical path, unique content, noindex until approved (P2)",UNTESTED
